endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,clusters,new_gen
2021-05-10 02:45:00,BOL4,Galaxy 우주를 줄게,510,0.483,0.8140000000000001,0.0,-2.407,1.0,0.143,0.6829999999999999,0.0,0.0918,0.696,82.814,213853.0,4.0,indie,7,lo-fi
2021-05-10 02:45:00,Aimer,カタオモイ,100,0.621,0.5329999999999999,1.0,-5.974,1.0,0.0342,0.78,0.0,0.333,0.7909999999999999,96.981,207360.0,4.0,j-pop,4,j-pop
2021-05-10 02:45:00,GOT7,NOT BY THE MOON,330,0.5489999999999999,0.813,5.0,-4.828,0.0,0.148,0.0556,4.44e-06,0.207,0.544,151.813,204702.0,4.0,k-pop,13,electro
2021-05-10 02:45:00,Aimer,ever after,730,0.491,0.638,8.0,-5.752999999999999,1.0,0.0623,0.21,0.0,0.346,0.368,176.05900000000003,236293.0,4.0,j-pop,1,k-pop
2021-05-10 02:45:00,Aimer,broKen NIGHT,900,0.335,0.674,5.0,-6.028,1.0,0.0417,0.403,0.0,0.156,0.511,169.892,296307.0,4.0,j-pop,13,electro
2021-05-10 02:45:00,AAA,First Name,650,0.72,0.7559999999999999,7.0,-5.879,1.0,0.0463,0.0101,0.000276,0.141,0.426,144.988,215334.0,4.0,j-pop,2,indie
2021-05-10 02:45:00,Mayday,後來的我們,370,0.488,0.602,0.0,-3.697,1.0,0.0277,0.0119,0.0,0.0825,0.225,78.01100000000002,346282.0,4.0,indie,7,lo-fi
2021-05-10 02:45:00,SHINee,CØDE,1070,0.637,0.8,1.0,-3.572,0.0,0.134,0.0441,0.0,0.176,0.5820000000000001,101.965,194867.0,4.0,k-pop,4,j-pop
2021-05-10 02:45:00,10cm,Phonecert,550,0.858,0.481,9.0,-3.649,1.0,0.104,0.391,0.0,0.128,0.773,107.96,197504.0,4.0,korean,3,indie pop
2021-05-10 02:45:00,Stella Jang,Blue Turns Pink,990,0.617,0.5479999999999999,4.0,-6.352,1.0,0.028,0.805,0.0,0.158,0.453,97.039,203397.0,4.0,korean,0,korean
2021-05-10 02:45:00,10cm,That's Not...,71446,0.439,0.272,9.0,-9.523,1.0,0.0291,0.469,0.0,0.188,0.0912,142.697,228840.0,4.0,korean,3,indie pop
2021-05-10 02:45:00,pH-1,Cupid,1230,0.871,0.63,0.0,-3.831,1.0,0.101,0.128,0.0,0.112,0.5770000000000001,114.98,220490.0,4.0,korean,7,lo-fi
2021-05-10 02:45:00,Mega Shinnosuke,Togenkyo To Taxi,130,0.6779999999999999,0.8079999999999999,2.0,-6.04,1.0,0.0319,0.0152,0.0736,0.139,0.887,125.976,298254.0,4.0,japanese,6,japanese
2021-05-10 02:45:00,DAY6,You make Me,1380,0.6459999999999999,0.617,6.0,-5.606,0.0,0.0338,0.339,0.0,0.129,0.384,100.995,218984.0,4.0,korean,10,hip-hop
2021-05-10 02:45:00,KANA-BOON,スターマーカー,300,0.498,0.846,4.0,-3.196,1.0,0.0419,0.019,0.0,0.302,0.764,133.955,213433.0,4.0,j-rock,0,korean
2021-05-10 02:45:00,N.Flying,Flowerwork,730,0.685,0.83,8.0,-2.363,0.0,0.0471,0.0378,0.0,0.156,0.877,134.061,191982.0,4.0,korean,1,k-pop
